sentence,meaning,word
pajek človek najbolj bati,zival,pajek
pajek polčlovek pračlovek nadčlovek clovek človek najbol tajek dober najbolj blitek daleč spati ugibati ogibati nagibati bati upogibati gibati,zival,pajek
pajek plašen zato ugrizniti človek izzvan,zival,pajek
pajek proglašen zamašen prestrašen preplašen strašen uglašen plašen zato ugrizniti pogoltniti polčlovek pračlovek nadčlovek clovek človek izzvan,zival,pajek
dejstvo lahko danes videti pajek popolnoma vseeno,zival,pajek
dejstvo lahko prelahko rahko danes dandanes videt zdeti videti predvideti pajek povsem popolnoma vseeno,zival,pajek
pajek stanovanje nositi ven trava,zival,pajek
pajek stanovanje zanositi kositi nositi noter ven travišče trava traven,zival,pajek
obvoden pajek drseti voden gladina noga,zival,pajek
obvoden pajek viseti vrteti drseti moden voden gladina voda morje jezero plavut noga,zival,pajek
Avstrija pogost poseben fobija statistično registriran strah pajek,zival,pajek
Linz Este Belgija Celovec Innsbruck Koroška Gradec Avstrija Avstrijka Salzburg pogosten pogost poseben oseben fobija fobi homofobija hobi ksenofobija statistično registriran neregistriran strahota strah strahopetec pajek,zival,pajek
bati pajek,zival,pajek
spati ugibati ogibati nagibati bati upogibati gibati pajek,zival,pajek
prepričati reči škorpijon strupen pajek,zival,pajek
poskušati pričati prepričati uspeti skušati doreči izreči reči povedati zavreči rečt škorpijon nestrupen strupen pajek,zival,pajek
pajek neustrašno napasti previdno približevati plen,zival,pajek
pajek neustrašeno neustrašno strašno spopasti napadati nasesti nameravati napasti propasti neprevidno previdno približati približevati zbliževati plenilec plen,zival,pajek
jantar dominikanski republika vsebovati nešteto vključek organizem žaba pajek,zival,pajek
jantar dominikanski republika vsebovati nešteto vključek mikroorganizem huliganizem organizem žabica žabec žaba pajek,zival,pajek
stalno kupovati nov pajek sam opraviti paritev pajek,zival,pajek
distalno stalno nestalno talno trgovati poslovati začeti nabavljati odkupovati kupovati kovati šivati nov pajek sam opraviti napraviti popraviti umiritev britev paritev daritev levitev stvaritev,zival,pajek
punca strah pajek ogaben žuželka,zival,pajek
zaljubljenec punca strahota strah strahopetec pajek ogaben ličinka žuželka,zival,pajek
Trubarjev življenjski delo obsegati knjiga slovenski jezik,koncept,jezik
Trubarjev doživljenjski vseživljenjski življenjski delo obsegati knjiga neslovenski koroškoslovenski vseslovenski zamejski slovenski jugoslovenski jezik,koncept,jezik
škof Baraga tekoče govoriti jezik,koncept,jezik
nadškof škof škofija Baraga Baraguey Friderik Irenej baragi tekočo tekoče znati nagovoriti naučiti spregovoriti govoriti slišati izgovoriti pogovoriti jezik,koncept,jezik
oblikovanje nacionalen knjižen jezik neizbrisno zaznamovati življenje rojak,koncept,jezik
malikovanje preoblikovanje izoblikovanje oblikovanje regionalen nacionaliziran racionalen nacionalen nacionalističen knjižen jezik kmalu neizbrisno zaznamovati zivljenje življenje rojak,koncept,jezik
sprememba priti upraven področje področje jezik,koncept,jezik
spremémba sprememba spremeba priti obriti pritisniti udariti uspeti iti šariti upraven podpodročje področje jezik,koncept,jezik
slap tam najti mešan skalen leden skulptura plezalen jezik praviti mixed,koncept,jezik
slapišče slap slapnik tam tu tamkaj kje tukaj znajti poskušati najt najti iznajti uspeti skušati mešan primešan pomešan zmešan skalen leden skulptura plezalen jezik praviti mixed,koncept,jezik
jezik tekoč lahko razumljiv,koncept,jezik
jezik tekoč lahko prelahko rahko razumljiv nedoumljiv nerazumljiv,koncept,jezik
društvo Sava leto udejanjati dopolnilen pouk slovenski jezik,koncept,jezik
društvo oderuštvo Dolinka Savinja savar Bohinjka Savara Sava savas začetek poletje leto obdobje udejanjati dejati sanjati udejanjiti dopolnilen verouk pouk metodika neslovenski koroškoslovenski vseslovenski zamejski slovenski jugoslovenski jezik,koncept,jezik
zbirka prvotno namenjen izdelava slovar slovenski knjižen jezik,koncept,jezik
zbirka prvotno namenjen izdelava postopek obdelava orodje slovar tujka slovarčka slovarček neslovenski koroškoslovenski vseslovenski zamejski slovenski jugoslovenski knjižen jezik,koncept,jezik
francoščina jezik haute cuisine dober razlog,koncept,jezik
nemščina angleščina španščina italijanščina francoščina jezik haute route hauteriva uta cuisine dober odličen razlog,koncept,jezik
običajen taborski dogajanje osrednji pomen šola slovenski jezik,koncept,jezik
neobičajen običajen taborski pogajanje dogajanje osrednji pomen šola neslovenski koroškoslovenski vseslovenski zamejski slovenski jugoslovenski jezik,koncept,jezik
občutljivost sladek okus slab neben del jezik nespremenjen,del_telesa,jezik
občutljivostjo preobčutljivostjo neobčutljivost preobčutljivost občutljivost sladkast sladkoben sladek gladek okus priokus fokus lokus slab preslab slaboten slabšalen neben del jezik nespremenjen,del_telesa,jezik
užitek sladek kremast sladoled topiti jezik obraz sijati sonce uživati otrok,del_telesa,jezik
užitek sladkast sladkoben sladek gladek kremast sladoled slad sladokusec okus topiti pretopiti raztopiti utopiti popiti stopiti vstopiti škropiti spiti jezik obraz rahljati dejati sanjati zvijati pobijati sijati smejati omajati navijati ubijati sonce bivati umivati popivati šivati uživati vzgoja otrok,del_telesa,jezik
bogat saden mineralen vonjava jezik razviti slasten sočnost lep svežina eleganten pookus,del_telesa,jezik
bogat aromatičen sočen hladen užiten saden trden mineralen vonjava jezik izviti poskušati razviti usten slasten strasten večplasten časten masten lasten oblasten bodočnost deročnost sočnost netočnost točnost poučnost mogočnost zvočnost odločnost tekočnost oblečen prelep čudovit lep urejen lepljiv svežina eleganten impozanten aroganten pookus,del_telesa,jezik
sinoči začutiti jezik droben zrnce piti aperitiv,del_telesa,jezik
opolnoči ponoči sinoči čutiti začutiti občutiti počutiti jezik obroben podroben čaroben zdrobljen droben zrnce kupiti piti lepiti umivati jesti popiti kaditi vpiti spiti sadje aperitiv dcl emulgator česen digestiv aditiv kurkuma eritritol piperidin čebula,del_telesa,jezik
prisluhniti sporočati brbončica jezik,del_telesa,jezik
prislužiti prisluhniti sporočiti sporočati priporočati poročati brbončica jezik,del_telesa,jezik
zapreti oči pustiti pregrešen dobrota usta razširiti jezik,del_telesa,jezik
preteti spreti dati opreti odpreti zapreti oči draženje oko opustiti popustiti pustiti odpustiti izpustiti zapustiti dopustiti spustiti pregrešen dobrota dobrosrčnost ustnica usta razširiti poskušati uspeti širiti jezik,del_telesa,jezik
reklamen pano podoba sočen hamburger sprožiti okusen brbončica jezik raverski divjanje,del_telesa,jezik
reklamen panolo panoga pano podoba prispodoba močen ločen točen izbočen zvočen sočen vbočen sočuten usločen namočen hamburger sprožiti sladkast trpek gnusen oster sladek grenek okusen brbončica jezik raverski ubijanje čuvanje obsojanje omamljanje iztrebljanje divjanje sejanje vpijanje pobijanje,del_telesa,jezik
okus ostati konec jezik teden dražiti brbončica bralec prebuditi nesramen želja zaljubiti,del_telesa,jezik
okus priokus fokus lokus stati obstati ostati postati mesec konec začetek jezik teden dan lepiti stražiti dražiti ublažiti omožiti sovražiti potolažiti blažiti brbončica razlagalec vedoznalec iskalec gledalec zbiralec palec bralec buditi zbuditi čuditi prebuditi sramežljiv neumen nesramen želja zaljubiti,del_telesa,jezik
okušalen brbončica nahajati zadnji del jezik,del_telesa,jezik
okušalen brbončica odhajati porajati prehajati shajati uhajati zahajati nahajati dohajati zadnji predzadnji prednji del jezik,del_telesa,jezik
jezik najprej belo obložen nato zažareti rdeč barva imeti otrok škrlatinka,del_telesa,jezik
jezik potem najprej pozno pravilno zatem sprva nato kasno belo modro črno položen obložen nazadnje nakar potem najprej zatem nato kasno zažareti bel rdeč smrdeč rjav obarvan rumen oči barva imeti imet vzgoja otrok škrlatinka,del_telesa,jezik
Racman dobiti krilo,letenje,krilo
Jackman Dajčman Gilman žman Racman Kocman inman Trkman Elfman Šugman Bricman poskušati dobiti dati pridobiti obiti uspeti krilo,letenje,krilo
razpon krilo 20 cm orjaški kačji pastir Kostarika velik pripadnik vrsta svet,letenje,krilo
razpon krilo 19 30 21 17 18 20 15 50 16 10 25 cm orjaški varjaški kačji račji mačji pastir pastirček pastirica pastirec Ekvador Kostarika Nikaragva Kostarike Brazilija Tarika Sul Nikaragve Kolumbija Kosta ogromen prevelik majhen velik rodbina pripadnica pripadnik vrsta sosvet svet nasvet,letenje,krilo
žival bolj podrobno opazovati skušati ugotoviti podobnost krilo,letenje,krilo
živalja žival živalica vedno nabolj bolj čedalje podrobno nadrobno opazovati poskušati pokušati preskušati shujšati preizkušati okušati utišati skušati ugotoviti skušati podobnost sodobnost podobnostjo udobnost spodobnost krilo,letenje,krilo
otrok zanimati krilo imeti ptiček,letenje,krilo
vzgoja otrok zanimati pričeti začeti pozanimati krilo imeti imet vrtiček biček psiček kotiček ptič možiček veveriček čriček ptiček,letenje,krilo
mlad orlič razprostirati krilo letalo čevelj zemlja postarati,letenje,krilo
mlad orlič razprostirati krilo letalo stol čevelj vatel čeveljček čeveljc kavelj zemljan zemlja zrak postarati,letenje,krilo
slika štorklja razpreti krilo spustiti,letenje,krilo
oltarna slika štorkelj štorklja štor čmrlji razpreti krilo opustiti popustiti pustiti odpustiti izpustiti zapustiti dopustiti spustiti,letenje,krilo
ptič zakrožiti čoln zaplahutati krilo,letenje,krilo
ptička ptiček ptič zakrožiti čolniček čolnič čoln zaplahutati krilo,letenje,krilo
približati približno pol meter jastreb razpreti krilo,letenje,krilo
približati bližati zbližati prbližno približno par pol nanometer centimeter diameter voltmeter mikrometer milimeter barometer meter bolometer družina jastreb razpreti krilo,letenje,krilo
žiten molj metuljček imeti krilo belkast številen rjav črn lisa,letenje,krilo
žiten molža gomolj molj metuljček metulj imeti imet krilo belkast rjavkast sivkast kiselkast številen številčen številski rjavkast obarvan rjav črnki črn rjav lisa,letenje,krilo
dolg ozek krilo izdajati metulj dober letalec,letenje,krilo
rdeč dolg širok predolg ozek preozek nizek dolg širok obalen ozek krilo začeti dajati izdajati metuljček metulj dober odličen plamenometalec metalec talec letalec opazovalec neletalec,letenje,krilo
Dianin krilo prekratek,obleka,krilo
Dianin krilo prekratek prekrasen kratek,obleka,krilo
temen krilo srajca velik veselje zamenjati svež barva,obleka,krilo
temenski temen prozoren rumen krilo krajec srajica srajčka srajca ogromen prevelik majhen velik veseljak raven veselje veseljačenje veseljačil menjati namenjati zamenjati zamenjavati svež oči barva,obleka,krilo
priljubljen zvonasto širok hlače krilo preklop,obleka,krilo
nepriljubljen priljubljen bronasto grebenasto penasto kljunasto citronasto vlaknasto zvonasto trnasto preširok širok kolač nogavica hlačke hlače obleka krilo preklop vklop izklop,obleka,krilo
mnenje moden oblikovalec ženska zima nositi mini krilo,obleka,krilo
mnenje pomnenje staromoden neroden voden moden modenski moderen zgoden oblikovalec sooblikovalec snovalec ženskar ženska zima zanositi kositi nositi mini mamin krilo,obleka,krilo
slika vsakdanji krilo pas domač platno svetoven vojna,obleka,krilo
oltarna slika nevsakdanji vsakdanji krilo n pas domač domačen platno strokoven duhoven svetoven svetovljanski vojna,obleka,krilo
ženski krilo volneno smetana bel barva črn obroba pas,obleka,krilo
ženski mlad krilo volneno laneno smetana siv bel belkast sivkast oči barva črnki črn rjav obroba n pas,obleka,krilo
petek mučiti gležnar krilo,obleka,krilo
den četrtek koledar torek dan ponedeljek sobota petek priučiti izučiti naučiti mučiti zadaviti daviti dati učiti poučiti unovčiti naprtiti gležnar krilo,obleka,krilo
Nika Veger izbrati dober krilo pas,obleka,krilo
